Key,File,Type,UsedInMainMenu,NoTranslate,english,schinese
marisaArmorT3BerserkerChestDesc,items,Armor,,,Health Max +10 \nStrength +1 when fully equipped \n\nScrap to IridescentCube,最大生命值 +10 \n全套装备时力量+1 \n\n可分解为虹彩结晶
marisaArmorT3BerserkerGloves,items,Armor,,,IridescentArmorGloves[Berserker],虹彩手套[狂战士]
marisaArmorT3BerserkerGlovesDesc,items,Armor,,,Health Max +10 \nStrength +1 when fully equipped \n\nScrap to IridescentCube,最大生命值 +10 \n全套装备时力量+1 \n\n可分解为虹彩结晶
marisaArmorT3BerserkerPants,items,Armor,,,IridescentArmorPants[Berserker],虹彩护腿[狂战士]
marisaArmorT3BerserkerPantsDesc,items,Armor,,,Health Max +10 \nStrength +1 when fully equipped \n\nScrap to IridescentCube,最大生命值 +10 \n全套装备时力量+1 \n\n可分解为虹彩结晶
marisaArmorT3BerserkerBoots,items,Armor,,,IridescentArmorBoots[Berserker],虹彩鞋子[狂战士]
marisaArmorT3BerserkerBootsDesc,items,Armor,,,Health Max +10 \nStrength +1 when fully equipped \n\nScrap to IridescentCube,最大生命值 +10 \n全套装备时力量+1 \n\n可分解为虹彩结晶
marisaArmorT3DarkKnightHead,items,Armor,,,IridescentArmorHead[DarkKnight],虹彩兜帽[暗黑骑士]
marisaArmorT3DarkKnightHeadDesc,items,Armor,,,Stamina Max +20 \nFortitude +1 when fully equipped \n\nScrap to IridescentCube,最大耐力值 +20 \n全套装备时强健+1 \n\n可分解为虹彩结晶
marisaArmorT3DarkKnightChest,items,Armor,,,IridescentArmorChest[DarkKnight],虹彩胸甲[暗黑骑士]
marisaArmorT3DarkKnightChestDesc,items,Armor,,,Stamina Max +20 \nFortitude +1 when fully equipped \n\nScrap to IridescentCube,最大耐力值 +20 \n全套装备时强健+1 \n\n可分解为虹彩结晶
marisaArmorT3DarkKnightGloves,items,Armor,,,IridescentArmorGloves[DarkKnight],虹彩手套[暗黑骑士]
marisaArmorT3DarkKnightGlovesDesc,items,Armor,,,Stamina Max +20 \nFortitude +1 when fully equipped \n\nScrap to IridescentCube,最大耐力值 +20 \n全套装备时强健+1 \n\n可分解为虹彩结晶
marisaArmorT3DarkKnightPants,items,Armor,,,IridescentArmorPants[DarkKnight],虹彩护腿[暗黑骑士]
marisaArmorT3DarkKnightPantsDesc,items,Armor,,,Stamina Max +20 \nFortitude +1 when fully equipped \n\nScrap to IridescentCube,最大耐力值 +20 \n全套装备时强健+1 \n\n可分解为虹彩结晶
marisaArmorT3DarkKnightBoots,items,Armor,,,IridescentArmorBoots[DarkKnight],虹彩鞋子[暗黑骑士]
marisaArmorT3DarkKnightBootsDesc,items,Armor,,,Stamina Max +20 \nFortitude +1 when fully equipped \n\nScrap to IridescentCube,最大耐力值 +20 \n全套装备时强健+1 \n\n可分解为虹彩结晶
marisaArmorT3AssassinatorHead,items,Armor,,,IridescentArmorHead[Assassinator],虹彩兜帽[暗杀者]
marisaArmorT3AssassinatorHeadDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT3AssassinatorChest,items,Armor,,,IridescentArmorChest[Assassinator],虹彩胸甲[暗杀者]
marisaArmorT3AssassinatorChestDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT3AssassinatorGloves,items,Armor,,,IridescentArmorGloves[Assassinator],虹彩手套[暗杀者]
marisaArmorT3AssassinatorGlovesDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT3AssassinatorPants,items,Armor,,,IridescentArmorPants[Assassinator],虹彩护腿[暗杀者]
marisaArmorT3AssassinatorPantsDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT3AssassinatorBoots,items,Armor,,,IridescentArmorBoots[Assassinator],虹彩鞋子[暗杀者]
marisaArmorT3AssassinatorBootsDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT4AssassinatorStealthBoots,items,Armor,,,IridescentArmorBoots[StealthAssassinator],虹彩鞋子[潜行暗杀者]
marisaArmorT3AssassinatorStealthBootsDesc,items,Armor,,,Crouch Speed +2% \nAgility +1 JumpStrength +1 when fully equipped \n\nScrap to IridescentCube,蹲行速度 +2% \n全套装备时敏捷+1 跳跃高度+1 \n\n可分解为虹彩结晶
marisaArmorT2MechanicHead,items,Armor,,,IridescentArmorHead[Mechanic],虹彩兜帽[机械师]
marisaArmorT2MechanicHeadDesc,items,Armor,,,Health Max -2 Bartering +2% \nCrafting Time -3% Experience Gain +3% \nIntellect +1 when fully equipped \n\nScrap to IridescentCube,最大生命值-2 交易+2% \n制作时间-3% 经验获取+3% \n全套装备时智慧+1 \n\n可分解为虹彩结晶
marisaArmorT2MechanicChest,items,Armor,,,IridescentArmorChest[Mechanic],虹彩胸甲[机械师]
marisaArmorT2MechanicChestDesc,items,Armor,,,Health Max -2 Bartering +2% \nCrafting Time -3% Experience Gain +3% \nIntellect +1 when fully equipped \n\nScrap to IridescentCube,最大生命值-2 交易+2% \n制作时间-3% 经验获取+3% \n全套装备时智慧+1 \n\n可分解为虹彩结晶
marisaArmorT2MechanicGloves,items,Armor,,,IridescentArmorGloves[Mechanic],虹彩手套[机械师]
marisaArmorT2MechanicGlovesDesc,items,Armor,,,Health Max -2 Bartering +2% \nCrafting Time -3% Experience Gain +3% \nIntellect +1 when fully equipped \n\nScrap to IridescentCube,最大生命值-2 交易+2% \n制作时间-3% 经验获取+3% \n全套装备时智慧+1 \n\n可分解为虹彩结晶
marisaArmorT2MechanicPants,items,Armor,,,IridescentArmorPants[Mechanic],虹彩护腿[机械师]
marisaArmorT2MechanicPantsDesc,items,Armor,,,Health Max -2 Bartering +2% \nCrafting Time -3% Experience Gain +3% \nIntellect +1 when fully equipped \n\nScrap to IridescentCube,最大生命值-2 交易+2% \n制作时间-3% 经验获取+3% \n全套装备时智慧+1 \n\n可分解为虹彩结晶
marisaArmorT2MechanicBoots,items,Armor,,,IridescentArmorBoots[Mechanic],虹彩鞋子[机械师]
marisaArmorT2MechanicBootsDesc,items,Armor,,,Health Max -2 Bartering +2% \nCrafting Time -3% Experience Gain +3% \nIntellect +1 when fully equipped \n\nScrap to IridescentCube,最大生命值-2 交易+2% \n制作时间-3% 经验获取+3% \n全套装备时智慧+1 \n\n可分解为虹彩结晶
modMarisaT1BlockDamage,items,Mod,,,IridescentMod[BlockDamage],虹彩模组[物块伤害]
modMarisaT1BlockDamageDesc,items,Mod,,,Block damage +20%,物块伤害 +20%
modMarisaT2BlockDamage,items,Mod,,,IridescentMod[BlockDamage],虹彩模组[物块伤害]
modMarisaT2BlockDamageDesc,items,Mod,,,Block damage +40%,物块伤害 +40%
modMarisaT3BlockDamage,items,Mod,,,IridescentMod[BlockDamage],虹彩模组[物块伤害]
modMarisaT3BlockDamageDesc,items,Mod,,,Block damage +60%,物块伤害 +60%
modMarisaT4BlockDamage,items,Mod,,,IridescentMod[BlockDamage],虹彩模组[物块伤害]
modMarisaT4BlockDamageDesc,items,Mod,,,Block damage +80%,物块伤害 +80%
modMarisaT2BlockHarvest,items,Mod,,,IridescentMod[Harvest],虹彩模组[采集]
modMarisaT2BlockHarvestDesc,items,Mod,,,Harvest count +40%,采集数量 +40%
modMarisaT3BlockHarvest,items,Mod,,,IridescentMod[Harvest],虹彩模组[采集]
modMarisaT3BlockHarvestDesc,items,Mod,,,Harvest count +60%,采集数量 +60%
modMarisaT4BlockHarvest,items,Mod,,,IridescentMod[Harvest],虹彩模组[采集]
modMarisaT4BlockHarvestDesc,items,Mod,,,Harvest count +80%,采集数量 +80%
modMarisaT3DrumMagazine,items,Mod,,,IridescentMod[DrumMagazine],虹彩模组[弹鼓]
modMarisaT3DrumMagazineDesc,items,Mod,,,Magazine +150% reload speed -45%,载弹量 +150% 换弹速度-45%
modMarisaT4DrumMagazine,items,Mod,,,IridescentMod[DrumMagazine],虹彩模组[弹鼓]
modMarisaT4DrumMagazineDesc,items,Mod,,,Magazine +200% reload speed -55%,载弹量 +200% 换弹速度-55%
modMarisaT1EntityDamage,items,Mod,,,IridescentMod[AttackDamage],虹彩模组[攻击伤害]
modMarisaT1EntityDamageDesc,items,Mod,,,attack damage +3%,攻击伤害 +3%
modMarisaT2EntityDamage,items,Mod,,,IridescentMod[AttackDamage],虹彩模组[攻击伤害]
modMarisaT2EntityDamageDesc,items,Mod,,,attack damage +6%,攻击伤害 +6%
modMarisaT3EntityDamage,items,Mod,,,IridescentMod[AttackDamage],虹彩模组[攻击伤害]
modMarisaT3EntityDamageDesc,items,Mod,,,attack damage +9%,攻击伤害 +9%
modMarisaT4EntityDamage,items,Mod,,,IridescentMod[AttackDamage],虹彩模组[攻击伤害]
modMarisaT4EntityDamageDesc,items,Mod,,,attack damage +12%,攻击伤害 +12%
modMarisaT4KillRecovery,items,Mod,,,IridescentMod[KillRecovery],虹彩模组[击杀回复]
modMarisaT4KillRecoveryDesc,items,Mod,,,Kill recovery +3,击杀回复 +3
modMarisaT1KillExp,items,Mod,,,IridescentMod[KillExp],虹彩模组[击杀经验]
modMarisaT1KillExpDesc,items,Mod,,,Kill exp +100,击杀经验 +100
modMarisaT2KillExp,items,Mod,,,IridescentMod[KillExp],虹彩模组[击杀经验]
modMarisaT2KillExpDesc,items,Mod,,,Kill exp +200,击杀经验 +200
modMarisaT3KillExp,items,Mod,,,IridescentMod[KillExp],虹彩模组[击杀经验]
modMarisaT3KillExpDesc,items,Mod,,,Kill exp +300,击杀经验 +300
modMarisaT4KillExp,items,Mod,,,IridescentMod[KillExp],虹彩模组[击杀经验]
modMarisaT4KillExpDesc,items,Mod,,,Kill exp +400,击杀经验 +400
modMarisaT1AddBuffFire,items,Mod,,,IridescentMod[BuffFire],虹彩模组[火焰附加]
modMarisaT1AddBuffFireDesc,items,Mod,,,25% chance to burn enemies while attacking,攻击时25%几率使敌人燃烧
modMarisaT2AddBuffFire,items,Mod,,,IridescentMod[BuffFire],虹彩模组[火焰附加]
modMarisaT2AddBuffFireDesc,items,Mod,,,30% chance to burn enemies while attacking,攻击时30%几率使敌人燃烧
modMarisaT3AddBuffFire,items,Mod,,,IridescentMod[BuffFire],虹彩模组[火焰附加]
modMarisaT3AddBuffFireDesc,items,Mod,,,35% chance to burn enemies while attacking,攻击时35%几率使敌人燃烧
modMarisaT4AddBuffFire,items,Mod,,,IridescentMod[BuffFire],虹彩模组[火焰附加]
modMarisaT4AddBuffFireDesc,items,Mod,,,40% chance to burn enemies while attacking,攻击时40%几率使敌人燃烧
modMarisaT2AddBuffShocked,items,Mod,,,IridescentMod[BuffShocked],虹彩模组[电击附加]
modMarisaT2AddBuffShockedDesc,items,Mod,,,15% chance to shock enemies while attacking,攻击时15%几率电击敌人
modMarisaT3AddBuffShocked,items,Mod,,,IridescentMod[BuffShocked],虹彩模组[电击附加]
modMarisaT3AddBuffShockedDesc,items,Mod,,,20% chance to shock enemies while attacking,攻击时20%几率电击敌人
modMarisaT4AddBuffShocked,items,Mod,,,IridescentMod[BuffShocked],虹彩模组[电击附加]
modMarisaT4AddBuffShockedDesc,items,Mod,,,25% chance to shock enemies while attacking,攻击时25%几率电击敌人
modMarisaT1Degradation,items,Mod,,,IridescentMod[StructuralBrace],虹彩模组[结构支撑]
modMarisaT1DegradationDesc,items,Mod,,,35% chance of not consuming durability when used,使用时35%几率不消耗耐久
modMarisaT2Degradation,items,Mod,,,IridescentMod[StructuralBrace],虹彩模组[结构支撑]
modMarisaT2DegradationDesc,items,Mod,,,50% chance of not consuming durability when used,使用时50%几率不消耗耐久
modMarisaT3Degradation,items,Mod,,,IridescentMod[StructuralBrace],虹彩模组[结构支撑]
modMarisaT3DegradationDesc,items,Mod,,,65% chance of not consuming durability when used,使用时65%几率不消耗耐久
modMarisaT4Degradation,items,Mod,,,IridescentMod[StructuralBrace],虹彩模组[结构支撑]
modMarisaT4DegradationDesc,items,Mod,,,75% chance of not consuming durability when used,使用时75%几率不消耗耐久
modMarisaT1ReloadSpeed,items,Mod,,,IridescentMod[ReloadSpeed],虹彩模组[换弹速度]
modMarisaT1ReloadSpeedDesc,items,Mod,,,Reload speed +20%,换弹速度+20%
modMarisaT2ReloadSpeed,items,Mod,,,IridescentMod[ReloadSpeed],虹彩模组[换弹速度]
modMarisaT2ReloadSpeedDesc,items,Mod,,,Reload speed +25%,换弹速度+25%
modMarisaT3ReloadSpeed,items,Mod,,,IridescentMod[ReloadSpeed],虹彩模组[换弹速度]
modMarisaT3ReloadSpeedDesc,items,Mod,,,Reload speed +30%,换弹速度+30%
modMarisaT4ReloadSpeed,items,Mod,,,IridescentMod[ReloadSpeed],虹彩模组[换弹速度]
modMarisaT4ReloadSpeedDesc,items,Mod,,,Reload speed +35%,换弹速度+35%
modMarisaT4BurnBloodDamage,items,Mod,,,IridescentMod[BurnBloodDamage],虹彩模组[燃血伤害]
modMarisaT4BurnBloodDamageDesc,items,Mod,,,Cost Health 1 while attacking\n+30% attack damage,攻击时消耗生命值1\n攻击伤害+30%
modMarisaT1GunTubeExtenderMagazine,items,Mod,,,IridescentMod[GunTubeExtender],虹彩模组[枪管扩展]
modMarisaT1GunTubeExtenderMagazineDesc,items,Mod,,,Increases magazine capacity for pump shotguns by 4 shells,泵动式霰弹枪的弹匣容量增加4发
modMarisaT2GunTubeExtenderMagazine,items,Mod,,,IridescentMod[GunTubeExtender],虹彩模组[枪管扩展]
modMarisaT2GunTubeExtenderMagazineDesc,items,Mod,,,Increases magazine capacity for pump shotguns by 5 shells,泵动式霰弹枪的弹匣容量增加5发
modMarisaT3GunTubeExtenderMagazine,items,Mod,,,IridescentMod[GunTubeExtender],虹彩模组[枪管扩展]
modMarisaT3GunTubeExtenderMagazineDesc,items,Mod,,,Increases magazine capacity for pump shotguns by 6 shells,泵动式霰弹枪的弹匣容量增加6发
modMarisaT4GunTubeExtenderMagazine,items,Mod,,,IridescentMod[GunTubeExtender],虹彩模组[枪管扩展]
modMarisaT4GunTubeExtenderMagazineDesc,items,Mod,,,Increases magazine capacity for pump shotguns by 7 shells,泵动式霰弹枪的弹匣容量增加7发
